tourney,id,winner_name,wins
Cincinnati Masters 1990,7,Ivan Ljubicic,0
Cincinnati Masters 1990,7,Robin Soderling,0
Cincinnati Masters 1990,7,David Ferrer,0
Cincinnati Masters 1990,7,Stan Wawrinka,0
Cincinnati Masters 1990,7,Marin Cilic,0
Cincinnati Masters 1990,7,Alexander Zverev,0
Cincinnati Masters 1990,7,Grigor Dimitrov,0
Cincinnati Masters 1990,7,Jack Sock,0
Cincinnati Masters 1990,7,Juan Martin del Potro,0
Cincinnati Masters 1990,7,John Isner,0
Cincinnati Masters 1990,7,Karen Khachanov,0
Cincinnati Masters 1990,7,Dominic Thiem,0
Cincinnati Masters 1990,7,Fabio Fognini,0
Cincinnati Masters 1990,7,Daniil Medvedev,0
Cincinnati Masters 1990,7,Hubert Hurkacz,0
Stockholm Masters 1990,8,Stefan Edberg,2
Stockholm Masters 1990,8,Andre Agassi,1
Stockholm Masters 1990,8,Andrei Chesnokov,1
Stockholm Masters 1990,8,Juan Aguilera,1
Stockholm Masters 1990,8,Thomas Muster,1
Stockholm Masters 1990,8,Michael Chang,1
Stockholm Masters 1990,8,Boris Becker,1
Stockholm Masters 1990,8,Jim Courier,0
Stockholm Masters 1990,8,Sergi Bruguera,0
Stockholm Masters 1990,8,Karel Novacek,0
Stockholm Masters 1990,8,Emilio Sanchez,0
Stockholm Masters 1990,8,Guy Forget,0
Stockholm Masters 1990,8,Pete Sampras,0
Stockholm Masters 1990,8,Goran Ivanisevic,0
Stockholm Masters 1990,8,Michael Stich,0
Stockholm Masters 1990,8,Mikael Pernfors,0
Stockholm Masters 1990,8,Andrei Medvedev,0
Stockholm Masters 1990,8,Roberto Carretero,0
Stockholm Masters 1990,8,Wayne Ferreira,0
Stockholm Masters 1990,8,Thomas Enqvist,0
Stockholm Masters 1990,8,Marcelo Rios,0
Stockholm Masters 1990,8,Alex Corretja,0
Stockholm Masters 1990,8,Chris Woodruff,0
Stockholm Masters 1990,8,Petr Korda,0
Stockholm Masters 1990,8,Carlos Moya,0
Stockholm Masters 1990,8,Albert Costa,0
Stockholm Masters 1990,8,Patrick Rafter,0
Stockholm Masters 1990,8,Richard Krajicek,0
Stockholm Masters 1990,8,Greg Rusedski,0
Stockholm Masters 1990,8,Mark Philippoussis,0
Stockholm Masters 1990,8,Gustavo Kuerten,0
Stockholm Masters 1990,8,Thomas Johansson,0
Stockholm Masters 1990,8,Cedric Pioline,0
Stockholm Masters 1990,8,Magnus Norman,0
Stockholm Masters 1990,8,Marat Safin,0
Stockholm Masters 1990,8,Juan Carlos Ferrero,0
Stockholm Masters 1990,8,Albert Portas,0
Stockholm Masters 1990,8,Andrei Pavel,0
Stockholm Masters 1990,8,Tommy Haas,0
Stockholm Masters 1990,8,Sebastien Grosjean,0
Stockholm Masters 1990,8,Lleyton Hewitt,0
Stockholm Masters 1990,8,Roger Federer,0
Stockholm Masters 1990,8,Guillermo Canas,0
Stockholm Masters 1990,8,Felix Mantilla,0
Stockholm Masters 1990,8,Guillermo Coria,0
Stockholm Masters 1990,8,Andy Roddick,0
Stockholm Masters 1990,8,Tim Henman,0
Stockholm Masters 1990,8,Rafael Nadal,0
Stockholm Masters 1990,8,Tomas Berdych,0
Stockholm Masters 1990,8,Tommy Robredo,0
Stockholm Masters 1990,8,Nikolay Davydenko,0
Stockholm Masters 1990,8,Novak Djokovic,0
Stockholm Masters 1990,8,David Nalbandian,0
Stockholm Masters 1990,8,Andy Murray,0
Stockholm Masters 1990,8,Jo-Wilfried Tsonga,0
Stockholm Masters 1990,8,Ivan Ljubicic,0
Stockholm Masters 1990,8,Robin Soderling,0
Stockholm Masters 1990,8,David Ferrer,0
Stockholm Masters 1990,8,Stan Wawrinka,0
Stockholm Masters 1990,8,Marin Cilic,0
Stockholm Masters 1990,8,Alexander Zverev,0
Stockholm Masters 1990,8,Grigor Dimitrov,0
Stockholm Masters 1990,8,Jack Sock,0
Stockholm Masters 1990,8,Juan Martin del Potro,0
Stockholm Masters 1990,8,John Isner,0
Stockholm Masters 1990,8,Karen Khachanov,0
Stockholm Masters 1990,8,Dominic Thiem,0
Stockholm Masters 1990,8,Fabio Fognini,0
