year,id,winner_name,wins,rank,wins_lbl
Stockholm Masters 1992,26,Sergi Bruguera,1,10, 1
Stockholm Masters 1992,26,Karel Novacek,1,11, 1
Stockholm Masters 1992,26,Emilio Sanchez,1,12, 1
Stockholm Masters 1992,26,Guy Forget,2,8, 2
Stockholm Masters 1992,26,Pete Sampras,1,13, 1
Stockholm Masters 1992,26,Goran Ivanisevic,1,14, 1
Stockholm Masters 1992,26,Michael Stich,0,15, 0
Paris Masters 1992,27,Stefan Edberg,4,1, 4
Paris Masters 1992,27,Andre Agassi,2,5, 2
Paris Masters 1992,27,Andrei Chesnokov,2,6, 2
Paris Masters 1992,27,Juan Aguilera,1,9, 1
Paris Masters 1992,27,Thomas Muster,2,7, 2
Paris Masters 1992,27,Michael Chang,3,2, 3
Paris Masters 1992,27,Boris Becker,3,3, 3
Paris Masters 1992,27,Jim Courier,3,4, 3
Paris Masters 1992,27,Sergi Bruguera,1,10, 1
Paris Masters 1992,27,Karel Novacek,1,11, 1
Paris Masters 1992,27,Emilio Sanchez,1,12, 1
Paris Masters 1992,27,Guy Forget,2,8, 2
Paris Masters 1992,27,Pete Sampras,1,13, 1
Paris Masters 1992,27,Goran Ivanisevic,1,14, 1
Paris Masters 1992,27,Michael Stich,0,15, 0
Indian Wells Masters 1993,28,Stefan Edberg,4,1, 4
Indian Wells Masters 1993,28,Andre Agassi,2,5, 2
Indian Wells Masters 1993,28,Andrei Chesnokov,2,6, 2
Indian Wells Masters 1993,28,Juan Aguilera,1,9, 1
Indian Wells Masters 1993,28,Thomas Muster,2,7, 2
Indian Wells Masters 1993,28,Michael Chang,3,3, 3
Indian Wells Masters 1993,28,Boris Becker,3,4, 3
Indian Wells Masters 1993,28,Jim Courier,4,2, 4
Indian Wells Masters 1993,28,Sergi Bruguera,1,10, 1
Indian Wells Masters 1993,28,Karel Novacek,1,11, 1
Indian Wells Masters 1993,28,Emilio Sanchez,1,12, 1
Indian Wells Masters 1993,28,Guy Forget,2,8, 2
Indian Wells Masters 1993,28,Pete Sampras,1,13, 1
Indian Wells Masters 1993,28,Goran Ivanisevic,1,14, 1
Indian Wells Masters 1993,28,Michael Stich,0,15, 0
Miami Masters 1993,29,Stefan Edberg,4,1, 4
Miami Masters 1993,29,Andre Agassi,2,5, 2
Miami Masters 1993,29,Andrei Chesnokov,2,6, 2
Miami Masters 1993,29,Juan Aguilera,1,10, 1
Miami Masters 1993,29,Thomas Muster,2,7, 2
Miami Masters 1993,29,Michael Chang,3,3, 3
Miami Masters 1993,29,Boris Becker,3,4, 3
Miami Masters 1993,29,Jim Courier,4,2, 4
Miami Masters 1993,29,Sergi Bruguera,1,11, 1
Miami Masters 1993,29,Karel Novacek,1,12, 1
Miami Masters 1993,29,Emilio Sanchez,1,13, 1
Miami Masters 1993,29,Guy Forget,2,8, 2
Miami Masters 1993,29,Pete Sampras,2,9, 2
Miami Masters 1993,29,Goran Ivanisevic,1,14, 1
Miami Masters 1993,29,Michael Stich,0,15, 0
Monte Carlo Masters 1993,30,Stefan Edberg,4,1, 4
Monte Carlo Masters 1993,30,Andre Agassi,2,5, 2
Monte Carlo Masters 1993,30,Andrei Chesnokov,2,6, 2
Monte Carlo Masters 1993,30,Juan Aguilera,1,11, 1
Monte Carlo Masters 1993,30,Thomas Muster,2,7, 2
Monte Carlo Masters 1993,30,Michael Chang,3,3, 3
Monte Carlo Masters 1993,30,Boris Becker,3,4, 3
Monte Carlo Masters 1993,30,Jim Courier,4,2, 4
Monte Carlo Masters 1993,30,Sergi Bruguera,2,8, 2
Monte Carlo Masters 1993,30,Karel Novacek,1,12, 1
Monte Carlo Masters 1993,30,Emilio Sanchez,1,13, 1
Monte Carlo Masters 1993,30,Guy Forget,2,9, 2
Monte Carlo Masters 1993,30,Pete Sampras,2,10, 2
Monte Carlo Masters 1993,30,Goran Ivanisevic,1,14, 1
Monte Carlo Masters 1993,30,Michael Stich,0,15, 0
Hamburg Masters 1993,31,Stefan Edberg,4,1, 4
Hamburg Masters 1993,31,Andre Agassi,2,5, 2
Hamburg Masters 1993,31,Andrei Chesnokov,2,6, 2
Hamburg Masters 1993,31,Juan Aguilera,1,11, 1
Hamburg Masters 1993,31,Thomas Muster,2,7, 2
Hamburg Masters 1993,31,Michael Chang,3,3, 3
Hamburg Masters 1993,31,Boris Becker,3,4, 3
Hamburg Masters 1993,31,Jim Courier,4,2, 4
Hamburg Masters 1993,31,Sergi Bruguera,2,8, 2
Hamburg Masters 1993,31,Karel Novacek,1,12, 1
Hamburg Masters 1993,31,Emilio Sanchez,1,13, 1
Hamburg Masters 1993,31,Guy Forget,2,9, 2
Hamburg Masters 1993,31,Pete Sampras,2,10, 2
Hamburg Masters 1993,31,Goran Ivanisevic,1,14, 1
Hamburg Masters 1993,31,Michael Stich,1,15, 1
